# 92-U-235(n,thermal chi) ENDF/B-VII.1
5.400000000000000000e+03,4.559894338587590630e-08
5.500000000000000000e+03,4.602660053369185963e-08
5.600000000000000000e+03,4.643643863368214989e-08
5.700000000000000000e+03,4.684627673367244016e-08
5.800000000000000000e+03,4.725611483366272380e-08
5.900000000000000000e+03,4.766595293365301406e-08
6.000000000000000000e+03,4.805797198581764126e-08
6.100000000000000000e+03,4.844999103798225522e-08
6.200000000000000000e+03,4.885982913797254548e-08
6.300000000000000000e+03,4.923402914231150299e-08
6.400000000000000000e+03,4.962604819447613018e-08
6.500000000000000000e+03,5.001806724664075076e-08
6.600000000000000000e+03,5.039226725097971488e-08
6.700000000000000000e+03,5.078428630314432884e-08
6.800000000000000000e+03,5.115848630748329297e-08
6.900000000000000000e+03,5.153268631182224386e-08
7.000000000000000000e+03,5.188906726833553830e-08
7.100000000000000000e+03,5.226326727267449581e-08
7.200000000000000000e+03,5.263746727701345994e-08
7.300000000000000000e+03,5.299384823352674776e-08
7.400000000000000000e+03,5.335022919004004882e-08
7.500000000000000000e+03,5.370661014655333664e-08
7.600000000000000000e+03,5.406299110306663770e-08
7.700000000000000000e+03,5.441937205957992553e-08
7.800000000000000000e+03,5.477575301609322659e-08
7.900000000000000000e+03,5.511431492478084472e-08
8.000000000000000000e+03,5.547069588129414578e-08
8.100000000000000000e+03,5.580925778998177716e-08
8.200000000000000000e+03,5.614781969866940853e-08
8.300000000000000000e+03,5.648638160735702667e-08
8.400000000000000000e+03,5.682494351604465804e-08
8.500000000000000000e+03,5.716350542473228942e-08
8.600000000000000000e+03,5.750206733341992079e-08
8.700000000000000000e+03,5.784062924210753893e-08
8.800000000000000000e+03,5.816137210296951385e-08
8.900000000000000000e+03,5.848211496383147554e-08
9.000000000000000000e+03,5.882067687251910030e-08
9.100000000000000000e+03,5.914141973338106198e-08
9.200000000000000000e+03,5.946216259424302367e-08
9.300000000000000000e+03,5.978290545510500521e-08
9.400000000000000000e+03,6.010364831596696690e-08
9.500000000000000000e+03,6.042439117682892859e-08
9.600000000000000000e+03,6.074513403769089028e-08
9.700000000000000000e+03,6.104805785072718890e-08
9.800000000000000000e+03,6.136880071158915059e-08
9.900000000000000000e+03,6.167172452462544921e-08
1.000000000000000000e+04,6.197464833766174783e-08
1.100000000000000000e+04,6.498606742019907097e-08
1.200000000000000000e+04,6.787275316795676587e-08
1.300000000000000000e+04,7.061688653310912976e-08
1.400000000000000000e+04,7.327192465913316507e-08
1.500000000000000000e+04,7.582004849820319551e-08
1.600000000000000000e+04,7.827907709814492385e-08
1.700000000000000000e+04,8.066682950678399992e-08
1.800000000000000000e+04,8.298330572412041048e-08
1.900000000000000000e+04,8.524632479797981860e-08
2.000000000000000000e+04,8.743806768053657445e-08
2.100000000000000000e+04,8.957635341961632786e-08
2.200000000000000000e+04,9.166118201521910531e-08
2.300000000000000000e+04,9.369255346734488031e-08
2.400000000000000000e+04,9.568828682381931595e-08
2.500000000000000000e+04,9.763056303681677562e-08
2.600000000000000000e+04,9.953720115416289591e-08
2.700000000000000000e+04,1.014082011758576901e-07
2.800000000000000000e+04,1.032435631019011449e-07
2.900000000000000000e+04,1.050432869322932735e-07
3.000000000000000000e+04,1.068073726670340893e-07
3.100000000000000000e+04,1.085358203061235524e-07
3.200000000000000000e+04,1.102464488973873658e-07
