92-U-238(n,total) ENDF/B-VII.1
207.677,8.85886
207.713,10.5303
207.746,12.8066
207.778,15.9185
207.804,19.3334
207.831,24.1823
207.856,30.1996
207.882,38.0494
207.907,48.2159
207.935,62.2592
207.963,81.036
207.994,108.218
208.025,143.138
208.057,188.892
208.093,255.421
208.134,350.704
208.18,483.597
208.241,707.418
208.4,1360.31
208.47,1562.58
208.534,1630.25
208.537,1630.44
208.598,1575.3
208.667,1394.38
208.856,664.396
208.913,483.692
208.959,367.561
209.003,282.336
209.047,217.76
209.09,170.256
209.134,136.079
209.179,110.985
209.225,93.486
209.279,79.1687
209.343,68.1622
209.425,59.0053
209.534,51.16
209.67,44.7186
209.879,38.3496
210.107,33.8913
210.47,29.3907
210.943,25.8907
211.579,23.0829
212.452,20.8121
214.046,18.5514
214.334,18.3599
214.639,19.0132
214.864,19.6967
215.073,18.9796
215.335,17.7131
216.176,16.9308
217.686,16.2327
218.214,16.8692
218.837,15.7648
226.301,13.7858
228.53,13.3027
228.917,13.3659
232.907,11.8163
234.507,10.6671
235.411,9.46852
236.082,8.0174
236.372,7.41373
236.405,7.41076
236.493,7.68627
236.542,8.19531
236.59,9.22606
236.627,10.5677
236.663,12.6638
236.693,15.2712
236.724,18.9285
236.755,23.9721
236.785,30.8092
236.816,39.9169
236.847,51.8338
236.881,69.3234
236.913,90.3231
236.952,121.808
236.995,167.661
237.046,235.373
237.116,350.18
237.267,624.63
237.34,717.17
237.407,749.139
237.41,749.235
237.476,723.012
237.544,644.86
237.667,436.257
237.75,297.109
237.811,214.25
237.859,163.051
237.903,126.778
237.946,99.1536
237.99,78.7226
238.033,63.9647
238.081,52.6831
238.126,45.3129
238.183,39.1424
238.25,34.4647
238.341,30.6677
238.496,26.9209
238.689,24.151
238.947,21.8594
239.36,19.6964
240.114,17.6511
241.135,16.2863
242.028,15.6643
242.225,15.9286
242.399,17.1113
242.67,20.3756
242.754,20.706
242.879,19.9687
243.161,16.3112
243.315,15.3244
243.605,14.8743
248.346,13.7664
253.023,13.1954
253.414,13.495
253.656,14.6712
253.871,15.6513
253.896,15.6653
254.085,14.9763
254.348,13.5071
254.682,13.0364
256.566,12.8436
257.223,13.377
257.924,12.7075
263.031,12.1718
263.355,12.4209
263.494,13.1151
263.615,14.4354
263.881,18.561
263.978,19.092
264.095,18.3284
264.364,14.055
264.512,12.6563
264.685,12.0708
269.344,10.7737
270.92,9.78543
271.782,8.74213
272.608,7.11186
272.669,7.10495
272.731,7.27797
272.792,7.83152
272.832,8.54949
272.871,9.73392
272.91,11.6129
272.943,13.9319
272.976,17.1826
273.009,21.7749
273.042,27.8879
273.075,35.9901
273.112,47.8644
273.148,63.3768
273.188,85.3797
273.232,116.075
273.282,160.066
273.341,224.723
273.532,472.188
273.613,548.717
273.685,576.223
273.694,576.526
273.758,558.81
273.835,497.55
273.965,338.307
274.054,231.452
274.118,168.364
274.172,126.457
274.218,98.803
274.265,77.7113
274.311,62.0926
274.357,50.8054
274.411,41.714
274.461,36.0513
274.524,31.3943
274.588,28.5061
274.673,26.2431
274.758,25.0538
274.896,24.4584
275.049,24.5668
275.233,23.7128
